Superfamily,Family,Genus,Species,Month,Year,Country,State,Municipality,Locality,Species-Locality,Latitude_Longitude,Range_Size_sq_km,BIO1,BIO12,SampleID,Sequence_Reads,SVL_mm,Primary_Habitat,Extraction,mean_NDVI,OTU_richness,Faith_PD,Endangerment,Brazil_Redlist,IUCN_Status,Publication,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Cabreuva,3,5,23.28 S 46.99 W,60.512922,167,1379,CAB05,17773,28,Aquatic,Dneasy,0.86452,198,22.52819,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Cabreuva,3,5,23.28 S 46.99 W,60.512922,167,1379,CAB11,9451,28,Aquatic,Dneasy,0.86452,277,27.065382,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Cabreuva,3,5,23.28 S 46.99 W,60.512922,167,1379,CAB12,12637,28,Aquatic,Dneasy,0.86452,375,32.914821,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Cabreuva,3,5,23.28 S 46.99 W,60.512922,167,1379,CAB15,29130,28,Aquatic,Dneasy,0.86452,145,18.745856,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Cabreuva,3,5,23.28 S 46.99 W,60.512922,167,1379,CAB61,14618,28,Aquatic,Dneasy,0.86452,210,25.126443,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Cabreuva,3,5,23.28 S 46.99 W,60.512922,167,1379,CAB62,5437,28,Aquatic,Dneasy,0.86452,265,26.818548,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Cabreuva,3,5,23.28 S 46.99 W,60.512922,167,1379,CAB63,20295,28,Aquatic,Dneasy,0.86452,136,17.866793,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Cabreuva,3,5,23.28 S 46.99 W,60.512922,167,1379,CAB65,33342,28,Aquatic,Dneasy,0.86452,113,14.656577,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Cabreuva,3,5,23.28 S 46.99 W,60.512922,167,1379,CAB68,41352,28,Aquatic,Dneasy,0.86452,74,9.984041,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Cabreuva,3,5,23.28 S 46.99 W,60.512922,167,1379,CAB71,14401,28,Aquatic,Dneasy,0.86452,260,26.921803,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Cabreuva,3,5,23.28 S 46.99 W,60.512922,167,1379,CAB72,18179,28,Aquatic,Dneasy,0.86452,206,23.616022,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Cabreuva,3,5,23.28 S 46.99 W,60.512922,167,1379,CAB73,38459,28,Aquatic,Dneasy,0.86452,88,13.743663,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Cabreuva,3,5,23.28 S 46.99 W,60.512922,167,1379,CAB75,39102,28,Aquatic,Dneasy,0.86452,72,11.59857,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Leptodactylidae,Physalaemus,cuvieri,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,52,23.27 S 45.19 W,7824040.556,155,1743,CUV27,5291,30,Aquatic,Prepman,0.731252,59,6.965685,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Hyloidea,Leptodactylidae,Physalaemus,cuvieri,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,52,23.27 S 45.19 W,7824040.556,155,1743,CUV28,26382,30,Aquatic,Prepman,0.731252,62,5.91165,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
